name,age,season,Notes,position
Jarron Collins,32,10,5.0,C
Mirza Teletovic,33,6,5.0,F
Antoine Walker,35,12,5.0,F
Trajan Langdon,35,3,4.0,G
Mario West,31,4,4.0,G
Rasho Nesterovic,35,12,4.0,C
Robbie Hummel,28,2,3.0,F
Andres Nocioni,37,8,3.0,F
Nolan Smith,27,2,3.0,G
Luke Jackson,31,4,3.0,F-G
Vladimir Stepania,32,6,3.0,C
Dan Dickau,33,6,3.0,G
Robert Traylor,34,7,3.0,F-C
Dee Brown,31,8,3.0,G
Dee Brown,31,8,3.0,G
Kendall Marshall,26,4,2.0,G
Kosta Perovic,30,1,2.0,C
Raul Lopez,36,2,2.0,G
Ime Udoka,35,7,2.0,G-F
Greg Ostertag,38,10,2.0,C
Chuck Hayes,33,11,2.0,C-F
Rob Kurz,28,1,2.0,F
Pablo Prigioni,39,4,1.0,G
Jiri Welsch,38,4,1.0,F
Travis Hansen,33,1,1.0,G-F
