,name,age,season,Notes,position,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
0,Tony Parker,37,18,50.0,G,5,187.96,82.55,69.67,15.37,2.66,5.59,7.11,0.01,0.09,0.25,0.54,0.31,157
1,Manu Ginobili,41,16,44.0,G,5,198.12,93.27,66.06,13.15,3.48,3.78,10.23,0.03,0.13,0.24,0.58,0.24,98
2,Dwyane Wade,37,16,43.0,G,5,193.04,98.66,65.88,21.83,4.64,5.39,4.0,0.04,0.11,0.31,0.55,0.28,46
3,Andrew Bogut,36,14,36.0,C,0,213.36,116.96,50.43,8.6,8.19,2.04,3.07,0.1,0.25,0.16,0.55,0.12,10
4,Sean Marks,36,11,35.0,F-C,3,208.28,113.4,20.91,2.45,1.7,0.15,-14.07,0.06,0.19,0.18,0.5,0.03,139
5,Melvin Ely,38,9,35.0,C-F,1,208.28,118.29,41.67,4.51,2.71,0.58,-2.79,0.07,0.14,0.17,0.5,0.07,106
6,Travis Diener,32,5,34.0,G,5,185.42,79.38,35.8,3.78,1.04,1.78,-8.5,0.01,0.08,0.14,0.5,0.22,160
7,Brian Cardinal,36,12,30.0,F,2,203.2,110.37,38.0,3.6,1.89,0.82,3.62,0.07,0.14,0.15,0.52,0.11,20
8,Eduardo Najera,36,12,28.0,F,2,203.2,105.95,51.58,4.48,3.42,0.75,1.05,0.08,0.15,0.13,0.51,0.07,50
9,Chauncey Billups,37,17,27.0,G,5,190.5,92.48,61.35,14.05,2.71,4.91,2.86,0.02,0.09,0.21,0.56,0.26,26
10,Matt Bonner,36,12,27.0,C-F,1,208.28,107.73,66.0,5.59,2.85,0.67,5.99,0.05,0.15,0.15,0.59,0.06,104
11,Tim Duncan,40,19,27.0,C-F,1,211.76,116.29,73.26,18.89,10.77,3.01,9.75,0.1,0.26,0.27,0.55,0.16,155
12,Shaun Livingston,34,14,26.0,G,5,200.66,83.78,59.5,6.34,2.41,3.04,0.4,0.03,0.1,0.16,0.53,0.22,143
13,Mike Miller,38,17,25.0,G-F,6,203.2,98.46,60.71,9.71,4.05,2.42,-0.89,0.03,0.16,0.16,0.57,0.15,109
14,Brian Scalabrine,34,11,25.0,F,2,205.74,107.21,47.27,2.81,1.79,0.77,1.46,0.04,0.13,0.13,0.48,0.11,21
15,Luol Deng,34,15,25.0,F,2,205.57,100.3,60.13,13.45,5.51,2.1,0.68,0.05,0.13,0.19,0.53,0.11,96
16,Keyon Dooling,34,13,24.0,G,5,190.89,88.1,56.0,6.56,1.15,1.98,-0.94,0.01,0.06,0.19,0.52,0.19,85
17,Dorell Wright,34,11,24.0,F-G,4,204.82,93.81,49.91,6.79,3.31,1.27,-4.99,0.03,0.17,0.18,0.51,0.11,45
18,Jerry Stackhouse,38,17,23.0,F,2,198.12,98.88,52.82,13.81,2.74,2.8,-1.6,0.03,0.09,0.25,0.5,0.17,71
19,Zaza Pachulia,35,16,23.0,C,0,210.82,123.04,68.62,6.7,5.74,1.32,0.35,0.12,0.21,0.17,0.54,0.1,169
20,Theo Ratliff,38,15,23.0,C,0,208.28,104.78,49.0,6.58,5.25,0.52,-2.91,0.09,0.16,0.13,0.52,0.04,153
21,Kevin Garnett,40,20,23.0,F,2,210.82,106.68,69.1,17.35,9.83,3.63,5.56,0.07,0.26,0.24,0.54,0.18,81
22,Joel Przybilla,34,13,22.0,C,0,215.9,113.92,45.54,3.14,5.52,0.4,-5.98,0.1,0.24,0.09,0.49,0.03,73
23,Marvin Williams,34,15,22.0,F,2,205.57,107.62,71.0,10.23,5.11,1.28,-0.85,0.05,0.16,0.16,0.55,0.07,102
24,Corey Maggette,34,14,22.0,F,2,198.12,101.9,59.07,15.5,4.66,1.98,-3.36,0.04,0.15,0.25,0.57,0.12,32
25,Mo Williams,35,13,21.0,G,5,185.42,86.71,62.92,12.89,2.69,4.77,-2.46,0.02,0.09,0.23,0.52,0.27,111
26,Jose Calderon,38,14,21.0,G,5,190.5,93.73,63.93,8.46,2.38,5.53,-3.82,0.02,0.09,0.15,0.56,0.32,75
27,Josh Howard,36,10,20.0,F,2,200.15,95.25,50.7,13.01,5.18,1.46,3.67,0.06,0.15,0.22,0.5,0.08,76
28,DeSagana Diop,32,12,20.0,C,0,213.36,129.27,50.08,1.69,3.16,0.46,-3.84,0.1,0.18,0.1,0.41,0.06,40
29,Grant Hill,40,16,20.0,F,2,203.2,102.06,54.75,15.42,5.6,3.83,2.22,0.04,0.16,0.23,0.54,0.2,55
30,Eddy Curry,30,11,20.0,C,0,211.51,130.51,47.91,9.66,3.96,0.36,-14.62,0.08,0.16,0.24,0.57,0.03,49
31,Stephen Jackson,37,14,19.0,F-G,4,203.2,98.85,61.29,13.59,3.59,2.79,1.02,0.03,0.11,0.23,0.49,0.15,146
32,Jeff Foster,35,13,19.0,F-C,3,210.82,111.58,58.77,4.47,6.31,0.88,2.37,0.15,0.23,0.12,0.53,0.07,70
33,Shaquille O'Neal,39,15,19.0,C,0,215.9,145.91,60.8,21.88,10.01,2.42,7.74,0.11,0.23,0.29,0.59,0.13,142
34,Andrei Kirilenko,34,13,19.0,F,2,205.74,102.23,61.31,10.95,5.11,2.55,-0.67,0.07,0.15,0.18,0.54,0.14,8
35,Amar'e Stoudemire,33,14,19.0,F-C,3,208.82,111.84,60.43,17.51,7.39,1.15,1.56,0.09,0.2,0.26,0.58,0.06,7
36,Richard Hamilton,37,14,19.0,G,5,200.3,87.02,65.79,16.59,3.01,3.37,1.74,0.03,0.08,0.26,0.52,0.19,127
37,Tracy McGrady,34,15,19.0,G-F,6,203.2,97.67,62.53,18.51,5.41,4.32,0.61,0.05,0.15,0.27,0.51,0.24,158
38,Daniel Gibson,29,7,19.0,G,5,187.96,89.68,56.71,7.66,2.0,1.97,-0.01,0.02,0.08,0.16,0.54,0.13,34
39,Zach Randolph,38,17,18.0,F,2,205.74,116.44,65.65,16.21,8.89,1.81,-2.16,0.11,0.24,0.26,0.52,0.11,168
40,Malik Allen,36,10,18.0,F,2,208.28,115.67,47.8,4.36,2.67,0.45,-4.04,0.08,0.14,0.17,0.46,0.06,97
41,Adonal Foyle,35,12,18.0,C,0,208.28,118.88,61.08,3.78,4.48,0.44,-4.4,0.11,0.19,0.13,0.5,0.04,3
42,Dirk Nowitzki,40,21,18.0,F,2,213.24,110.61,72.48,20.11,7.35,2.34,4.95,0.03,0.21,0.26,0.57,0.12,44
43,Kobe Bryant,37,20,17.0,F-G,4,199.01,95.46,67.3,24.2,5.2,4.76,2.6,0.03,0.13,0.31,0.54,0.24,86
44,David Lee,34,12,17.0,F-C,3,205.74,110.49,69.08,13.26,8.62,2.14,0.22,0.1,0.24,0.2,0.58,0.12,38
45,Stephen Graham,33,6,17.0,G-F,6,198.12,97.52,39.83,3.8,1.58,0.45,-3.83,0.03,0.14,0.18,0.53,0.07,145
46,T.J. Ford,28,8,17.0,G,5,182.88,74.84,53.62,9.95,2.82,5.35,-0.11,0.03,0.1,0.21,0.5,0.34,151
47,David West,38,15,16.0,F,2,205.57,110.25,68.93,13.27,6.32,2.13,1.72,0.07,0.19,0.22,0.54,0.14,39
48,Hedo Turkoglu,36,15,15.0,F,2,207.6,99.79,66.47,10.16,3.77,2.71,2.27,0.03,0.14,0.19,0.52,0.16,58
49,Quentin Richardson,34,13,15.0,F,2,197.92,104.4,60.23,9.63,5.08,1.41,-3.26,0.06,0.15,0.19,0.48,0.09,121
50,Al Harrington,35,16,15.0,F,2,205.74,112.49,61.31,12.2,5.13,1.52,-1.45,0.06,0.17,0.23,0.51,0.1,4
51,Mehmet Okur,33,10,15.0,C-F,1,210.82,116.71,63.4,12.25,6.4,1.7,-1.23,0.08,0.2,0.21,0.54,0.11,105
52,Al Jefferson,34,14,15.0,C,0,208.28,125.55,65.36,15.21,8.16,1.43,-3.34,0.09,0.25,0.25,0.53,0.09,5
53,Metta World Peace,37,17,15.0,F,2,200.51,115.32,58.29,13.01,4.35,2.48,1.31,0.04,0.12,0.21,0.5,0.14,107
54,Ronald Dupree,33,6,15.0,F,2,200.66,94.8,26.17,2.4,1.75,0.48,-4.42,0.06,0.19,0.16,0.43,0.1,132
55,Leandro Barbosa,37,14,15.0,G,5,190.5,87.87,60.71,10.16,1.97,2.01,1.44,0.02,0.09,0.22,0.55,0.15,92
56,Chris Quinn,30,6,14.0,G,5,187.96,80.13,40.17,3.65,0.88,1.67,-2.5,0.01,0.07,0.17,0.46,0.23,28
57,Jason Williams,35,12,14.0,G,5,185.42,84.29,65.67,10.2,2.25,5.64,0.8,0.01,0.08,0.18,0.5,0.3,69
58,James Posey,36,12,14.0,F,2,203.2,97.98,72.0,8.41,4.65,1.6,-0.16,0.03,0.17,0.15,0.54,0.1,61
59,Zydrunas Ilgauskas,36,13,14.0,C,0,220.98,117.93,64.85,12.94,7.34,1.09,2.11,0.12,0.19,0.23,0.53,0.07,170
60,Kevin Martin,33,12,14.0,G,5,200.66,85.62,59.5,17.15,3.14,1.92,-0.99,0.02,0.1,0.24,0.57,0.1,82
61,Aaron Gray,30,7,14.0,C,0,213.36,122.47,45.43,3.24,3.73,0.66,-4.73,0.13,0.23,0.15,0.53,0.09,1
62,Ray Allen,41,18,14.0,G,5,195.58,92.99,72.22,18.88,4.05,3.38,3.77,0.03,0.1,0.23,0.58,0.16,126
63,Tiago Splitter,33,7,14.0,C-F,1,210.82,110.16,50.71,7.3,4.59,1.06,7.06,0.1,0.19,0.19,0.59,0.09,154
64,Yaroslav Korolev,29,2,14.0,F,2,205.74,101.6,17.0,1.15,0.4,0.4,-15.0,0.03,0.08,0.18,0.36,0.16,167
65,Jon Leuer,31,8,14.0,F,2,208.28,103.42,47.12,5.66,3.47,0.68,-4.6,0.07,0.2,0.18,0.54,0.07,74
66,Jason Collins,35,13,14.0,C,0,213.36,116.36,56.54,2.93,3.07,0.7,-0.81,0.07,0.13,0.1,0.45,0.06,64
67,Ronny Turiaf,33,10,14.0,C,0,208.28,112.35,47.3,3.86,3.39,1.13,-0.86,0.07,0.17,0.11,0.51,0.11,134
68,Caron Butler,37,14,14.0,F,2,200.66,102.35,62.93,13.69,4.79,2.21,-0.91,0.04,0.13,0.21,0.52,0.11,23
69,Ronnie Price,35,12,14.0,G,5,187.96,85.62,45.33,3.4,1.18,1.75,-2.47,0.03,0.08,0.16,0.45,0.2,133
70,Elton Brand,37,17,14.0,F,2,204.4,116.89,62.24,14.84,8.11,1.94,-2.56,0.1,0.19,0.22,0.53,0.11,51
71,Darko Milicic,29,10,14.0,C,0,213.36,120.66,46.8,4.88,3.53,0.72,-7.26,0.07,0.18,0.2,0.41,0.07,36
72,Primoz Brezec,37,8,13.0,C,0,215.9,114.14,42.75,4.88,2.76,0.39,-5.36,0.11,0.14,0.18,0.49,0.05,120
73,Sean May,31,4,13.0,C-F,1,205.74,120.66,29.75,6.82,4.05,0.95,-4.55,0.09,0.2,0.22,0.49,0.1,140
74,Willie Green,35,12,13.0,G,5,190.29,91.29,60.92,8.0,1.73,1.31,-2.4,0.02,0.09,0.21,0.5,0.11,165
75,Steve Francis,33,9,13.0,G,5,190.5,90.52,64.0,16.62,5.19,5.63,-0.58,0.05,0.12,0.24,0.52,0.27,149
76,Paul Pierce,39,19,13.0,F,2,199.72,105.04,70.68,18.93,5.44,3.36,3.69,0.03,0.16,0.26,0.57,0.17,117
77,Tony Battie,37,14,13.0,C,0,210.82,108.86,59.79,5.59,4.76,0.59,-1.94,0.08,0.19,0.14,0.51,0.05,156
78,Nazr Mohammed,39,18,13.0,C,0,208.28,112.16,55.83,4.96,3.99,0.31,-1.91,0.12,0.2,0.19,0.5,0.04,112
79,Nick Collison,37,14,13.0,F-C,3,207.92,115.67,65.0,5.36,4.7,0.97,1.99,0.11,0.18,0.13,0.58,0.09,113
80,Martell Webster,30,10,13.0,F-G,4,200.66,104.01,58.0,7.48,2.71,0.89,-9.96,0.03,0.11,0.16,0.49,0.06,101
81,Metta World Peace,37,17,13.0,F,2,200.51,115.32,58.29,13.01,4.35,2.48,1.31,0.04,0.12,0.21,0.5,0.14,107
