,age,season,Notes,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
68,37,14,14.0,2,200.66,102.35,62.93,13.69,4.79,2.21,-0.91,0.04,0.13,0.21,0.52,0.11,23
69,35,12,14.0,5,187.96,85.62,45.33,3.4,1.18,1.75,-2.47,0.03,0.08,0.16,0.45,0.2,133
70,37,17,14.0,2,204.4,116.89,62.24,14.84,8.11,1.94,-2.56,0.1,0.19,0.22,0.53,0.11,51
71,29,10,14.0,0,213.36,120.66,46.8,4.88,3.53,0.72,-7.26,0.07,0.18,0.2,0.41,0.07,36
72,37,8,13.0,0,215.9,114.14,42.75,4.88,2.76,0.39,-5.36,0.11,0.14,0.18,0.49,0.05,120
73,31,4,13.0,1,205.74,120.66,29.75,6.82,4.05,0.95,-4.55,0.09,0.2,0.22,0.49,0.1,140
74,35,12,13.0,5,190.29,91.29,60.92,8.0,1.73,1.31,-2.4,0.02,0.09,0.21,0.5,0.11,165
75,33,9,13.0,5,190.5,90.52,64.0,16.62,5.19,5.63,-0.58,0.05,0.12,0.24,0.52,0.27,149
76,39,19,13.0,2,199.72,105.04,70.68,18.93,5.44,3.36,3.69,0.03,0.16,0.26,0.57,0.17,117
77,37,14,13.0,0,210.82,108.86,59.79,5.59,4.76,0.59,-1.94,0.08,0.19,0.14,0.51,0.05,156
78,39,18,13.0,0,208.28,112.16,55.83,4.96,3.99,0.31,-1.91,0.12,0.2,0.19,0.5,0.04,112
79,37,14,13.0,3,207.92,115.67,65.0,5.36,4.7,0.97,1.99,0.11,0.18,0.13,0.58,0.09,113
80,30,10,13.0,4,200.66,104.01,58.0,7.48,2.71,0.89,-9.96,0.03,0.11,0.16,0.49,0.06,101
81,37,17,13.0,2,200.51,115.32,58.29,13.01,4.35,2.48,1.31,0.04,0.12,0.21,0.5,0.14,107
82,36,14,12.0,6,203.2,98.53,50.64,4.64,1.55,0.46,0.96,0.02,0.1,0.15,0.56,0.05,60
83,36,14,12.0,1,203.2,106.43,76.0,8.42,4.31,3.44,2.29,0.05,0.13,0.16,0.54,0.19,16
84,38,14,12.0,5,182.88,75.81,65.29,26.06,3.69,6.0,0.6,0.02,0.08,0.31,0.52,0.27,6
85,34,13,12.0,2,205.74,106.59,61.54,6.52,5.18,0.68,-5.2,0.11,0.23,0.19,0.51,0.07,88
86,31,11,12.0,2,210.59,107.63,57.18,4.43,3.82,1.15,0.92,0.1,0.12,0.12,0.46,0.08,62
87,43,22,12.0,6,198.35,100.0,69.95,16.34,4.23,2.97,1.16,0.04,0.12,0.24,0.53,0.17,163
88,37,9,12.0,5,198.12,97.02,54.89,7.21,2.56,1.79,2.99,0.02,0.1,0.16,0.59,0.11,13
89,37,7,12.0,5,190.5,90.72,53.71,6.74,1.83,1.86,-4.86,0.03,0.08,0.16,0.47,0.13,25
90,32,10,12.0,6,200.41,98.43,70.5,9.12,4.44,3.35,-2.42,0.02,0.16,0.19,0.49,0.2,52
91,32,10,11.0,5,192.53,94.8,49.2,2.77,1.01,0.8,-6.43,0.02,0.11,0.15,0.45,0.1,136
92,36,14,11.0,1,213.18,118.03,62.0,10.44,6.66,2.66,1.06,0.08,0.2,0.18,0.56,0.16,18
93,28,3,11.0,0,213.36,127.46,35.0,7.63,5.93,0.47,3.0,0.15,0.23,0.18,0.6,0.04,56
94,30,8,11.0,0,228.28,139.82,60.75,18.56,8.91,1.55,2.01,0.09,0.23,0.27,0.59,0.09,166
95,40,17,11.0,2,205.74,112.04,62.47,11.1,5.26,1.82,-4.0,0.07,0.17,0.21,0.5,0.12,78
96,33,10,11.0,2,203.2,106.32,56.4,4.35,2.64,2.23,-0.47,0.05,0.13,0.15,0.47,0.21,95
97,40,17,10.0,5,193.04,95.57,72.41,12.38,6.24,8.68,4.48,0.04,0.16,0.18,0.52,0.37,65
98,37,8,10.0,2,205.1,111.58,61.88,6.41,3.16,1.06,-1.36,0.07,0.15,0.18,0.53,0.09,35
99,37,16,10.0,6,200.66,101.63,72.69,14.76,8.5,1.87,2.96,0.08,0.2,0.2,0.54,0.09,144
100,34,13,10.0,2,207.5,103.87,61.85,16.32,4.5,1.64,4.39,0.03,0.12,0.21,0.57,0.08,118
101,36,8,10.0,3,213.36,113.96,17.5,4.22,3.64,0.39,-12.54,0.11,0.18,0.2,0.41,0.04,47
102,31,4,10.0,0,210.82,122.47,20.5,2.65,1.5,0.65,-3.45,0.08,0.11,0.2,0.46,0.25,116
103,34,12,10.0,5,198.12,97.64,52.42,16.16,3.21,1.91,-2.83,0.03,0.1,0.25,0.52,0.11,108
104,37,13,10.0,5,189.33,88.45,50.92,3.2,1.33,1.87,-2.18,0.02,0.1,0.13,0.48,0.21,83
105,37,12,10.0,5,195.58,95.03,58.83,9.2,2.6,1.58,2.22,0.02,0.09,0.16,0.53,0.09,122
106,32,2,10.0,5,195.58,97.52,12.0,2.9,1.7,1.3,3.15,0.04,0.15,0.19,0.45,0.19,30
107,31,9,10.0,0,218.44,125.7,73.56,9.79,6.18,1.29,-0.16,0.1,0.17,0.2,0.52,0.09,135
108,26,6,9.0,0,210.82,105.84,39.67,5.58,4.95,0.63,-3.15,0.15,0.18,0.18,0.47,0.05,91
109,31,2,9.0,5,200.66,97.52,11.5,1.3,0.7,0.85,-1.6,0.1,0.07,0.22,0.47,0.31,77
110,37,14,9.0,3,205.74,107.89,67.07,11.98,7.5,1.34,0.03,0.1,0.22,0.21,0.53,0.09,15
111,37,14,9.0,2,200.66,102.77,66.36,7.77,4.5,1.76,2.19,0.06,0.16,0.16,0.54,0.11,103
