Date,Team,Acquired,Relinquished,Notes
2012-03-06,Cavaliers,• Christian Eyenga,,activated from IL
2012-03-07,Bobcats,,• Boris Diaw,placed on IL
2012-03-07,Bobcats,• Reggie Williams,,activated from IL
2012-03-07,Cavaliers,,• Christian Eyenga,placed on IL (F)
2012-03-07,Cavaliers,,• Luke Harangody,placed on IL (F)
2012-03-07,Lakers,• Devin Ebanks,,activated from IL
2012-03-07,Nuggets,,• Rudy Fernandez,placed on IL with strained lower back (P)
2012-03-07,Nuggets,• Kosta Koufos,,activated from IL
2012-03-07,Lakers,,• Darius Morris,placed on IL
2012-03-08,Magic,,• Justin Harper,placed on IL
2012-03-08,Magic,• DeAndre Liggins,,activated from IL
2012-03-09,Blazers,,• Elliot Williams,placed on IL with dislocated left shoulder
2012-03-09,Blazers,• Chris Johnson (b. 1985-07-15),,activated from IL
2012-03-09,Bobcats,,• DeSagana Diop,placed on IL
2012-03-09,Bobcats,• Cory Higgins,,activated from IL
2012-03-09,Celtics,,• Mickael Pietrus,placed on IL with sore right knee
2012-03-09,Celtics,• E'Twaun Moore,,activated from IL
2012-03-09,Hawks,,• Jason Collins,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2012-03-09,Hawks,• Joe Johnson,,activated from IL
2012-03-09,Knicks,,• Jared Jeffries,placed on IL
2012-03-09,Nuggets,,• Kosta Koufos,placed on IL (F)
2012-03-09,Pistons,,• Vernon Macklin,placed on IL
2012-03-09,Spurs,,• (William) Tony Parker,placed on IL with right thigh injury
2012-03-09,Spurs,,• T.J. Ford,placed on IL with head injury (F)
2012-03-09,Timberwolves,,• Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
2012-03-09,Timberwolves,• Nikola Pekovic,,activated from IL
2012-03-10,Jazz,• DeMarre Carroll,,activated from IL
2012-03-10,Pistons,• Charlie Villanueva,,activated from IL
2012-03-10,Raptors,,• Solomon Alabi,placed on IL (F)
2012-03-10,Rockets,,• Kyle Lowry,placed on IL with illness / bacterial infection
2012-03-10,Rockets,• Jordan Hill,,activated from IL
2012-03-10,Timberwolves,,• Ricky Rubio,placed on IL with torn ACL in left knee (out for season)
2012-03-10,Timberwolves,• Malcolm Lee,,activated from IL
2012-03-10,Wizards,,• Rashard Lewis,placed on IL (F)
2012-03-11,Celtics,,• Chris Wilcox,placed on IL with enlarged aorta
2012-03-11,Celtics,• Mickael Pietrus,,activated from IL
2012-03-11,Hawks,,• Jason Collins,placed on IL with sprained left elbow (P)
2012-03-11,Hawks,• Joe Johnson,,activated from IL (P)
2012-03-11,Magic,,• Jason Richardson,placed on IL with sprained left ankle
2012-03-11,Magic,• Von Wafer,,activated from IL
2012-03-11,Raptors,,• Jose Calderon,placed on IL with sprained right ankle
2012-03-11,Raptors,• Andrea Bargnani,,activated from IL
2012-03-11,Rockets,,• Terrence Williams,placed on IL with stomach ailment (P)
 Date, Team, Acquired, Relinquished, Notes
2012-03-11,Rockets,• Greg Smith (b. 1991-01-08),,activated from IL
2012-03-12,Bobcats,,• Eduardo Najera,placed on IL with knee injury
2012-03-12,Bobcats,• Boris Diaw,,activated from IL
2012-03-12,Jazz,,• DeMarre Carroll,placed on IL
2012-03-12,Spurs,• (William) Tony Parker,,activated from IL
2012-03-12,Timberwolves,,• Darko Milicic,placed on IL
2012-03-12,Timberwolves,• Jose Juan Barea / Jose Barea / J.J. Barea,,activated from IL
2012-03-13,Heat,,• Mike Miller,placed on IL with sprained left ankle
2012-03-13,Heat,• Terrel Harris,,activated from IL
2012-03-13,Kings,,• Tyler Honeycutt,placed on IL
2012-03-13,Kings,• J.J. Hickson,,activated from IL
2012-03-13,Magic,,• Von Wafer,placed on IL with back injury (F)
2012-03-13,Magic,• Justin Harper,,activated from IL
2012-03-13,Mavericks,• Brandan Wright,,activated from IL
2012-03-13,Nuggets,,• Julyan Stone,placed on IL
2012-03-13,Nuggets,• Rudy Fernandez,,activated from IL
2012-03-13,Rockets,,• Jordan Hill,placed on IL with flu (F)
2012-03-13,Mavericks,,• Sean Williams,placed on IL
2012-03-14,76ers,• Spencer Hawes,,activated from IL
2012-03-14,Bobcats,,• Cory Higgins,placed on IL
2012-03-14,Bobcats,• DeSagana Diop,,activated from IL
2012-03-14,Bucks,,• Ekpe Udoh,placed on IL
2012-03-14,Bucks,,• Monta Ellis,placed on IL
2012-03-14,Bulls,,• Richard Hamilton,placed on IL with right shoulder injury
2012-03-14,Knicks,• Jared Jeffries,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2012-03-14,Rockets,• Jordan Hill,,activated from IL
2012-03-14,Warriors,,• Stephen Jackson,placed on IL
2012-03-15,Bobcats,,• Boris Diaw,placed on IL
2012-03-15,Bobcats,• Eduardo Najera,,activated from IL
2012-03-15,Jazz,,• Earl Watson,placed on IL with ankle injury
2012-03-15,Jazz,• DeMarre Carroll,,activated from IL
2012-03-15,Nuggets,• Julyan Stone,,activated from IL
2012-03-15,Nuggets,• Kosta Koufos,,activated from IL
2012-03-15,Thunder,,• Ryan Reid,placed on IL
2012-03-15,Thunder,• Thabo Sefolosha,,activated from IL
2012-03-15,Timberwolves,,• Michael Beasley,placed on IL with toe injury
2012-03-15,Timberwolves,• Darko Milicic,,activated from IL
2012-03-15,Clippers,,• Nick Young,placed on IL
2012-03-15,Nuggets,,• JaVale McGee,placed on IL
2012-03-15,Nuggets,,• Ronny Turiaf,placed on IL
2012-03-16,76ers,,• Spencer Hawes,placed on IL with left Achilles tendon injury
2012-03-16,Blazers,,• Mehmet Okur,placed on IL
2012-03-16,Bucks,,• Ersan Ilyasova,placed on IL with illness (F)
2012-03-16,Bucks,,• Kwame Brown,placed on IL recovering from surgery to repair torn right pectoralis muscle in chest (out for season)
2012-03-16,Grizzlies,• Zach Randolph,,activated from IL
2012-03-16,Kings,,• Francisco Garcia,placed on IL with sprained wrist
2012-03-16,Kings,• Tyler Honeycutt,,activated from IL
2012-03-16,Lakers,,• Christian Eyenga,placed on IL
2012-03-16,Lakers,,• Jordan Hill,placed on IL
2012-03-16,Magic,,• Justin Harper,placed on IL
 Date, Team, Acquired, Relinquished, Notes
2012-03-16,Magic,• Jason Richardson,,activated from IL
2012-03-16,Pacers,,• Leandro Barbosa,placed on IL
2012-03-16,Spurs,,• Emanuel Ginobili / Manu Ginobili,placed on IL with hip flexor injury
2012-03-16,Spurs,,• Stephen Jackson,placed on IL
2012-03-16,Warriors,,• Andrew Bogut,placed on IL with fractured right ankle (out for season)
2012-03-16,Warriors,,• Richard Jefferson,placed on IL
2012-03-16,Warriors,,• T.J. Ford,placed on IL
2012-03-16,Rockets,• Terrence Williams,,activated from IL
2012-03-16,Lakers,• Darius Morris,,activated from IL
2012-03-17,76ers,,• Craig Brackins,placed on IL with stomach virus
2012-03-17,76ers,• Spencer Hawes,,activated from IL
2012-03-17,Bobcats,,• DeSagana Diop,placed on IL
2012-03-17,Bobcats,• Cory Higgins,,activated from IL
2012-03-17,Mavericks,,• Brendan Haywood,placed on IL with sprained right knee
2012-03-17,Mavericks,• Sean Williams,,activated from IL
2012-03-17,Nets,,• Brook Lopez,placed on IL with sprained right ankle (out for season)
2012-03-17,Rockets,,• Derek Fisher,placed on IL
2012-03-17,Rockets,,• Marcus Camby,placed on IL
2012-03-17,Spurs,• Emanuel Ginobili / Manu Ginobili,,activated from IL
2012-03-17,Spurs,• Stephen Jackson,,activated from IL
2012-03-17,Warriors,• Richard Jefferson,,activated from IL
2012-03-17,Nuggets,• Ronny Turiaf,,activated from IL
2012-03-18,Blazers,,• Shawne Williams,placed on IL with foot injury (out for season)
2012-03-18,Cavaliers,,• Anderson Varejao,placed on IL (F) (out for season)
2012-03-18,Cavaliers,,• Luke Harangody,placed on IL (P)
 Date, Team, Acquired, Relinquished, Notes
2012-03-18,Clippers,,• Travis Leslie,placed on IL
2012-03-18,Clippers,• Nick Young,,activated from IL
2012-03-18,Hawks,,• Marvin Williams,placed on IL with hip flexor injury
2012-03-18,Hawks,• Jason Collins,,activated from IL
2012-03-18,Jazz,,• Raja Bell,placed on IL
2012-03-18,Jazz,• Earl Watson,,activated from IL
2012-03-18,Kings,,• Tyreke Evans,placed on IL with sprained left ankle
2012-03-18,Kings,• Francisco Garcia,,activated from IL
2012-03-18,Lakers,• Jordan Hill,,activated from IL
2012-03-18,Magic,,• Ishmael Smith / Ish Smith,placed on IL
2012-03-18,Magic,• Von Wafer,,activated from IL
2012-03-18,Rockets,• Marcus Camby,,activated from IL
2012-03-18,Timberwolves,,• Nikola Pekovic,placed on IL with sore left ankle
2012-03-18,Timberwolves,• Michael Beasley,,activated from IL
2012-03-18,Wizards,,• Rashard Lewis,placed on IL with sore left knee (out for season)
2012-03-18,Blazers,• Elliot Williams,,activated from IL (P)
2012-03-18,Blazers,,• Elliot Williams,placed on IL (F) (out for season)
2012-03-19,Bobcats,,• Corey Maggette,placed on IL with back injury
2012-03-19,Bobcats,• DeSagana Diop,,activated from IL
2012-03-19,Cavaliers,,• Manny Harris,placed on IL (F)
2012-03-19,Magic,,• Von Wafer,placed on IL with back injury
2012-03-19,Magic,• Ishmael Smith / Ish Smith,,activated from IL
2012-03-19,Nuggets,,• Jordan Hamilton,placed on IL
2012-03-19,Nuggets,,• Julyan Stone,placed on IL
2012-03-19,Nuggets,• JaVale McGee,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2012-03-19,Timberwolves,,• Darko Milicic,placed on IL
2012-03-19,Timberwolves,• Nikola Pekovic,,activated from IL
2012-03-19,Warriors,,• Stephen Curry,placed on IL (F)
2012-03-19,Hawks,,• Jannero Pargo,placed on IL with appendectomy
2012-03-20,Bucks,,• Jon Leuer,placed on IL
2012-03-20,Bucks,• Ersan Ilyasova,,activated from IL
2012-03-20,Clippers,• Travis Leslie,,activated from IL
2012-03-20,Jazz,,• Josh Howard,placed on IL with surgery on left knee
2012-03-20,Kings,• Tyreke Evans,,activated from IL
2012-03-20,Knicks,,• Baron Davis,placed on IL with strained right hamstring
2012-03-20,Pacers,,• Jeff Foster,placed on IL with sore lower back
2012-03-20,Pacers,• Leandro Barbosa,,activated from IL
2012-03-20,Raptors,• Jose Calderon,,activated from IL (P)
2012-03-21,76ers,• Craig Brackins,,activated from IL
2012-03-21,Hawks,,• Jannero Pargo,placed on IL with appendectomy
2012-03-21,Hawks,• Marvin Williams,,activated from IL
2012-03-21,Knicks,,• Jerome Jordan,placed on IL
2012-03-21,Knicks,• Baron Davis,,activated from IL
2012-03-21,Magic,,• Daniel Orton,placed on IL
2012-03-21,Magic,• Justin Harper,,activated from IL
2012-03-21,Nuggets,,• Kosta Koufos,placed on IL with left knee tendinitis
2012-03-21,Nuggets,,• Rudy Fernandez,placed on IL with strained lower back (out for season)
2012-03-21,Nuggets,• Jordan Hamilton,,activated from IL
2012-03-21,Nuggets,• Julyan Stone,,activated from IL
2012-03-21,Spurs,,• Matt Bonner,placed on IL with back injury (F)
 Date, Team, Acquired, Relinquished, Notes
2012-03-21,Spurs,,• Patrick Mills / Patty Mills,placed on IL
2012-03-21,Thunder,,• Daequan Cook,placed on IL with knee injury
2012-03-21,Timberwolves,,• Nikola Pekovic,placed on IL with sore left ankle (F)
2012-03-21,Blazers,• Mehmet Okur,,activated from IL
2012-03-22,Blazers,,• Elliot Williams,placed on IL (P) (out for season)
2012-03-22,Kings,,• Terrence Williams,placed on IL
2012-03-23,Bobcats,,• Eduardo Najera,placed on IL with sore left knee
2012-03-23,Bobcats,• Corey Maggette,,activated from IL
2012-03-23,Celtics,,• Ray Allen,placed on IL with sore left (P) / right (CBC) ankle
2012-03-23,Heat,,• Terrel Harris,placed on IL
2012-03-23,Knicks,,• Jared Jeffries,placed on IL with right knee inflammation
2012-03-23,Knicks,• Jerome Jordan,,activated from IL
2012-03-23,Magic,,• Justin Harper,placed on IL
2012-03-23,Magic,• Daniel Orton,,activated from IL
2012-03-23,Mavericks,• Brendan Haywood,,activated from IL
2012-03-23,Spurs,,• Cory Joseph,placed on IL
2012-03-23,Spurs,• Matt Bonner,,activated from IL
2012-03-23,Timberwolves,,• Nikola Pekovic,placed on IL with sore left ankle (P)
2012-03-23,Timberwolves,• Darko Milicic,,activated from IL
2012-03-23,Celtics,• Chris Wilcox,,activated from IL
2012-03-23,Mavericks,,• Kelenna Azubuike,placed on IL
2012-03-23,Pacers,,• Kyrylo Fesenko,placed on IL
2012-03-24,Clippers,,• Travis Leslie,placed on IL
2012-03-24,Hornets,• Carl Landry,,activated from IL (P)
2012-03-24,Kings,,• Jason Thompson,placed on IL with sprained left ankle
 Date, Team, Acquired, Relinquished, Notes
2012-03-24,Pistons,• Charlie Villanueva,,activated from IL
2012-03-24,Spurs,,• Emanuel Ginobili / Manu Ginobili,placed on IL with sore hip (F)
2012-03-24,Spurs,,• Tiago Splitter,placed on IL with back spasms (F)
2012-03-24,Wizards,,• Andray Blatche,placed on IL (F) (out for season)
2012-03-24,Warriors,,• Chris Wright (b. 1988-09-30),placed on IL (F)
2012-03-25,Celtics,,• Mickael Pietrus,placed on IL with neck injury / concussion
2012-03-25,Grizzlies,,• Josh Selby,placed on IL
2012-03-25,Celtics,• Ray Allen,,activated from IL
2012-03-25,Thunder,• Reggie Jackson (Shon),,activated from IL
2012-03-26,Clippers,,• Maurice Williams / Mo Williams,placed on IL with sprained left big toe
2012-03-26,Knicks,,• Amare Stoudemire / Amar'e Stoudemire,placed on IL with bulging disc in lower back
2012-03-26,Knicks,• Jared Jeffries,,activated from IL
2012-03-26,Rockets,,• Greg Smith (b. 1991-01-08),placed on IL (F)
2012-03-27,76ers,• Craig Brackins,,activated from IL (P)
2012-03-27,Spurs,,• Tiago Splitter,placed on IL with back spasms (P)
2012-03-27,Spurs,• Patrick Mills / Patty Mills,,activated from IL
2012-03-27,Warriors,,• Stephen Curry,placed on IL with sprained right ankle (out for season)
2012-03-28,Bobcats,,• Cory Higgins,placed on IL
2012-03-28,Bobcats,• Eduardo Najera,,activated from IL
2012-03-28,Kings,,• John Salmons,placed on IL with hip injury (out for season)
2012-03-28,Kings,• Jason Thompson,,activated from IL
2012-03-28,Magic,,• Daniel Orton,placed on IL
2012-03-28,Magic,• Von Wafer,,activated from IL
2012-03-28,Nuggets,,• Danilo Gallinari,placed on IL with fractured left thumb
2012-03-28,Nuggets,• Kosta Koufos,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2012-03-28,Raptors,,• Jerryd Bayless,placed on IL with partially torn left oblique muscle (out for season)
2012-03-28,Spurs,,• Justin Dentmon,placed on IL
2012-03-28,Spurs,• Tiago Splitter,,activated from IL
2012-03-29,Mavericks,,• Dominique Jones,placed on IL
2012-03-29,Mavericks,• Delonte West,,activated from IL
2012-03-29,Wizards,,• Andray Blatche,placed on IL (P) (out for season)
2012-03-30,Bobcats,,• DeSagana Diop,placed on IL
2012-03-30,Bobcats,• Cory Higgins,,activated from IL
