Date,Team,Acquired,Relinquished,Notes
 Date, Team, Acquired, Relinquished, Notes
2015-12-21,Spurs,,• Matt Bonner,placed on IL
2015-12-21,Spurs,• Rasual Butler,,activated from IL
2015-12-22,Heat,,• Goran Dragic,placed on IL with sore left calf (P) / wrist injury (CBC)
2015-12-22,Mavericks,,• Devin Harris,placed on IL with strained right hamstring
2015-12-22,Mavericks,• Justin Anderson,,activated from IL
2015-12-22,Nuggets,,• Danilo Gallinari,placed on IL with sprained left ankle
2015-12-22,Nuggets,• Jusuf Nurkic,,activated from IL
2015-12-22,Pistons,,• Spencer Dinwiddie,placed on IL
2015-12-22,Pistons,• Brandon Jennings,,activated from IL
2015-12-22,Raptors,,• Bruno Caboclo,placed on IL
2015-12-22,Raptors,• Delon Wright,,activated from IL
2015-12-23,76ers,,• Christian Wood,placed on IL
2015-12-23,Blazers,,• Cliff Alexander,placed on IL
2015-12-23,Blazers,• C.J. McCollum,,activated from IL
2015-12-23,Cavaliers,,• Sasha Kaun,placed on IL
2015-12-23,Cavaliers,• Maurice Williams / Mo Williams,,activated from IL
2015-12-23,Lakers,,• Nick Young,placed on IL with gastroenteritis
2015-12-23,Mavericks,,• Deron Williams,placed on IL with strained left hamstring
2015-12-23,Mavericks,• Salah Mejri,,activated from IL
2015-12-23,Timberwolves,,• Damjan Rudez,placed on IL
2015-12-23,Timberwolves,• Tyus Jones,,activated from IL
2015-12-23,76ers,• Carl Landry,,activated from IL
2015-12-23,Lakers,• Ryan Kelly,,activated from IL
2015-12-25,Bulls,,• Joakim Noah,placed on IL with sprained left shoulder
2015-12-25,Bulls,• Cristiano Felicio,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2015-12-25,Clippers,,• Austin Rivers,placed on IL
2015-12-25,Clippers,• Branden Dawson,,activated from IL
2015-12-25,Heat,• Goran Dragic,,activated from IL
2015-12-25,Lakers,,• Ryan Kelly,placed on IL with neck injury
2015-12-25,Lakers,• Nick Young,,activated from IL
2015-12-25,Spurs,,• Rasual Butler,placed on IL
2015-12-25,Spurs,• Matt Bonner,,activated from IL
2015-12-26,Cavaliers,,• Kyrie Irving,placed on IL for rest
2015-12-26,Cavaliers,• Sasha Kaun,,activated from IL
2015-12-26,Celtics,,• David Lee,placed on IL with sore lower back
2015-12-26,Celtics,• Amir Johnson,,activated from IL
2015-12-26,Clippers,,• Blake Griffin,placed on IL with torn left quadriceps tendon
2015-12-26,Grizzlies,,• James Ennis,placed on IL
2015-12-26,Knicks,,• Cleanthony Early,placed on IL
2015-12-26,Knicks,• Kyle O'Quinn,,activated from IL
2015-12-26,Mavericks,• Devin Harris,,activated from IL
2015-12-26,Raptors,,• Norman Powell,placed on IL
2015-12-26,Raptors,• DeMarre Carroll,,activated from IL
2015-12-26,Spurs,,• Emanuel Ginobili / Manu Ginobili,placed on IL for rest
2015-12-26,Spurs,,• Tim Duncan,placed on IL with right knee injury
2015-12-26,Spurs,• Rasual Butler,,activated from IL
2015-12-26,Spurs,• Ray McCallum Jr.,,activated from IL
2015-12-26,Suns,• Cory Jefferson,,activated from IL
2015-12-26,Clippers,• Austin Rivers,,activated from IL
2015-12-26,Grizzlies,• Jordan Adams,,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2015-12-26,Mavericks,,• Justin Anderson,placed on IL
2015-12-26,Mavericks,,• Salah Mejri,placed on IL
2015-12-26,Mavericks,• Deron Williams,,activated from IL
2015-12-27,Blazers,,• Ed Davis (Adam),placed on IL with ankle injury
2015-12-27,Blazers,• Cliff Alexander,,activated from IL
2015-12-27,Celtics,,• Jordan Mickey,placed on IL
2015-12-27,Celtics,• Marcus Smart,,activated from IL
2015-12-27,Kings,,• Eric Moreland,placed on IL
2015-12-27,Kings,• Duje Dukan,,activated from IL
2015-12-27,Knicks,,• Louis Amundson / Lou Amundson,placed on IL with back spasms
2015-12-27,Knicks,• Cleanthony Early,,activated from IL
2015-12-27,Lakers,,• Metta World Peace / Ron Artest,placed on IL
2015-12-27,Lakers,• Ryan Kelly,,activated from IL
2015-12-28,Bucks,,• Damien Inglis,placed on IL with sore ankle
2015-12-28,Bucks,• Jerryd Bayless,,activated from IL
2015-12-28,Cavaliers,,• Sasha Kaun,placed on IL
2015-12-28,Cavaliers,• Kyrie Irving,,activated from IL
2015-12-28,Hawks,,• Tiago Splitter,placed on IL with strained calf
2015-12-28,Hawks,• Walter Tavares / Edy Tavares,,activated from IL
2015-12-28,Heat,,• Jarnell Stokes,placed on IL
2015-12-28,Heat,• Tyler Johnson,,activated from IL
2015-12-28,Hornets,,• Spencer Hawes,placed on IL
2015-12-28,Hornets,• P.J. Hairston,,activated from IL
2015-12-28,Jazz,,• Alec Burks,placed on IL with fractured fibula in left leg
2015-12-28,Magic,• Roy Devyn Marble / Roy Marble (Devyn),,activated from IL
 Date, Team, Acquired, Relinquished, Notes
2015-12-28,Mavericks,,• Deron Williams,placed on IL with strained left hamstring
2015-12-28,Mavericks,• Justin Anderson,,activated from IL
2015-12-28,Pelicans,• Alexis Ajinca / Alex Ajinca,,activated from IL
2015-12-28,Raptors,,• Bruno Caboclo,placed on IL
2015-12-28,Raptors,• Jonas Valanciunas,,activated from IL
2015-12-28,Spurs,,• Rasual Butler,placed on IL
2015-12-28,Spurs,• Emanuel Ginobili / Manu Ginobili,,activated from IL
2015-12-28,Suns,,• Eric Bledsoe,placed on IL with sprained left knee (out for season)
2015-12-28,Suns,• Bryce Cotton,,activated from IL
2015-12-29,Cavaliers,,• Kyrie Irving,placed on IL
2015-12-29,Cavaliers,• Sasha Kaun,,activated from IL
2015-12-30,Blazers,,• Cliff Alexander,placed on IL
2015-12-30,Blazers,• Ed Davis (Adam),,activated from IL
2015-12-30,Celtics,,• Terry Rozier,placed on IL
2015-12-30,Celtics,• David Lee,,activated from IL
2015-12-30,Suns,,• Ronnie Price,placed on IL with toe injury
2015-12-31,Pacers,,• Ian Mahinmi,placed on IL with knee injury
2015-12-31,Thunder,,• Steve Novak,placed on IL
2015-12-31,Thunder,• Mitch McGary,,activated from IL
2015-12-31,Timberwolves,,• Kevin Garnett,placed on IL for rest
2015-12-31,Timberwolves,• Damjan Rudez,,activated from IL
2015-12-31,Pacers,• Rakeem Christmas,,activated from IL
2015-12-31,Pacers,• Shayne Whittington,,activated from IL
2016-01-01,Hornets,,• Al Jefferson,placed on IL recovering from surgery on right knee to repair torn lateral meniscus
